"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","3,156.00","2,518.44","3,440.00","2,362.88","9.71M","25.28%"
"10/01/2024","2,519.13","2,602.23","2,766.09","2,311.65","8.91M","-3.24%"
"09/01/2024","2,603.52","2,513.01","2,726.62","2,151.55","7.83M","3.58%"
"08/01/2024","2,513.60","3,232.03","3,242.01","2,166.41","12.76M","-22.22%"
"07/01/2024","3,231.71","3,439.79","3,559.60","2,822.15","8.88M","-6.00%"
"06/01/2024","3,437.81","3,765.83","3,885.19","3,245.99","7.56M","-8.63%"
"05/01/2024","3,762.59","3,015.52","3,975.99","2,818.96","11.60M","24.82%"
"04/01/2024","3,014.35","3,643.43","3,727.81","2,862.97","12.77M","-17.35%"
"03/01/2024","3,647.07","3,342.62","4,091.67","3,063.51","17.64M","9.22%"
"02/01/2024","3,339.21","2,283.95","3,520.87","2,240.60","12.39M","46.26%"
"01/01/2024","2,283.14","2,281.79","2,712.82","2,122.71","13.21M","0.06%"
"12/01/2023","2,281.87","2,053.20","2,443.56","2,045.40","11.86M","11.23%"
"11/01/2023","2,051.57","1,814.89","2,135.99","1,779.81","11.39M","13.03%"
"10/01/2023","1,815.10","1,670.42","1,864.80","1,523.76","8.16M","8.63%"
"09/01/2023","1,670.90","1,646.57","1,693.71","1,533.91","6.14M","1.53%"
"08/01/2023","1,645.77","1,856.14","1,879.30","1,562.70","7.32M","-11.33%"
"07/01/2023","1,856.14","1,934.92","2,025.44","1,827.24","7.06M","-4.02%"
"06/01/2023","1,933.79","1,873.95","1,943.58","1,632.41","9.91M","3.21%"
"05/01/2023","1,873.62","1,870.92","2,012.99","1,741.50","11.23M","0.25%"
"04/01/2023","1,868.97","1,822.37","2,137.66","1,764.26","14.13M","2.60%"
"03/01/2023","1,821.61","1,604.95","1,852.47","1,371.36","20.83M","13.52%"
"02/01/2023","1,604.69","1,585.51","1,738.86","1,464.12","13.22M","1.23%"
"01/01/2023","1,585.25","1,195.92","1,678.51","1,191.64","14.34M","32.58%"
"12/01/2022","1,195.65","1,293.97","1,348.41","1,152.53","10.59M","-7.63%"
"11/01/2022","1,294.39","1,572.75","1,666.22","1,076.30","22.99M","-17.70%"
"10/01/2022","1,572.86","1,327.78","1,660.00","1,196.64","16.47M","18.37%"
"09/01/2022","1,328.72","1,554.56","1,788.04","1,222.32","22.59M","-14.56%"
"08/01/2022","1,555.18","1,676.56","2,028.43","1,424.49","26.17M","-7.43%"
"07/01/2022","1,680.07","1,071.20","1,781.37","1,012.57","38.63M","57.21%"
"06/01/2022","1,068.66","1,942.49","1,971.05","883.62","40.48M","-44.96%"
"05/01/2022","1,941.78","2,728.62","2,963.50","1,707.56","24.82M","-28.80%"
"04/01/2022","2,727.10","3,285.33","3,579.96","2,715.95","13.11M","-16.92%"
"03/01/2022","3,282.39","2,921.68","3,481.35","2,447.74","18.38B","12.32%"
"02/01/2022","2,922.35","2,686.99","3,276.46","2,302.82","14.05M","8.77%"
"01/01/2022","2,686.66","3,679.41","3,888.86","2,161.68","13.85M","-26.95%"
"12/01/2021","3,677.70","4,630.52","4,778.00","3,561.06","12.91M","-20.59%"
"11/01/2021","4,631.22","4,288.93","4,864.13","3,916.62","12.40M","8.01%"
"10/01/2021","4,287.60","2,998.46","4,459.04","2,972.91","14.35M","42.93%"
"09/01/2021","2,999.86","3,424.29","4,025.06","2,662.50","17.19M","-12.53%"
"08/01/2021","3,429.45","2,530.94","3,468.60","2,445.49","5.87M","35.61%"
"07/01/2021","2,528.85","2,274.99","2,552.09","1,719.48","1.41M","11.16%"
"06/01/2021","2,274.99","2,706.16","2,829.02","1,765.13","2.75M","-15.93%"
"05/01/2021","2,706.12","2,772.18","4,352.11","2,014.34","8.52M","-2.37%"
"04/01/2021","2,771.94","1,920.69","2,771.94","1,909.88","3.06M","44.50%"
"03/01/2021","1,918.24","1,418.28","1,918.24","1,418.28","918.43K","35.26%"
"02/01/2021","1,418.23","1,313.12","2,012.66","1,313.12","949.13K","8.02%"
"01/01/2021","1,312.93","736.15","1,415.69","728.35","2.63M","78.43%"
"12/01/2020","735.81","615.96","744.07","541.28","5.94M","19.46%"
"11/01/2020","615.96","386.36","617.89","380.83","8.68M","59.36%"
"10/01/2020","386.52","359.65","416.94","337.42","9.42M","7.43%"
"09/01/2020","359.78","434.06","472.18","324.67","12.33M","-17.11%"
"08/01/2020","434.06","346.37","442.44","346.37","12.58M","25.31%"
"07/01/2020","346.38","225.59","346.38","223.21","9.16M","53.54%"
"06/01/2020","225.59","231.61","253.50","216.65","9.53M","-2.63%"
"05/01/2020","231.69","206.38","246.74","176.43","28.27M","12.37%"
"04/01/2020","206.18","132.79","227.04","128.76","41.94M","55.26%"
"03/01/2020","132.80","217.46","251.63","91.52","44.81M","-38.92%"
"02/01/2020","217.43","179.95","288.10","179.31","24.99M","20.86%"
"01/01/2020","179.90","129.16","186.94","125.97","14.21M","39.27%"
"12/01/2019","129.17","151.35","152.35","116.17","13.96M","-14.75%"
"11/01/2019","151.51","182.16","194.26","131.53","18.67M","-16.83%"
"10/01/2019","182.18","180.95","196.84","153.92","18.47M","0.94%"
"09/01/2019","180.49","171.57","223.86","150.00","15.11M","5.19%"
"08/01/2019","171.58","218.39","238.89","164.00","12.77M","-21.43%"
"07/01/2019","218.38","292.73","317.85","192.14","14.59M","-25.19%"
"06/01/2019","291.91","267.90","366.16","226.79","5.82M","8.92%"
"05/01/2019","268.01","161.78","287.97","158.51","15.00M","65.69%"
"04/01/2019","161.76","141.40","185.53","139.80","22.14M","14.40%"
"03/01/2019","141.40","135.36","145.63","122.85","","4.48%"
"02/01/2019","135.34","106.39","165.64","101.55","","27.32%"
"01/01/2019","106.30","131.29","159.00","101.09","","-19.04%"
"12/01/2018","131.29","113.89","157.21","81.20","","15.94%"
"11/01/2018","113.24","198.62","224.37","102.61","","-42.99%"
"10/01/2018","198.62","232.42","237.83","189.30","","-14.55%"
"09/01/2018","232.43","281.79","302.45","167.78","","-17.52%"
"08/01/2018","281.80","431.73","434.72","250.36","","-34.79%"
"07/01/2018","432.13","455.63","515.00","418.46","","-4.95%"
"06/01/2018","454.62","579.74","629.06","403.43","","-21.16%"
"05/01/2018","576.66","670.34","848.85","0.00","","-13.97%"
"04/01/2018","670.34","393.60","716.01","341.63","","70.31%"
"03/01/2018","393.60","850.85","887.49","366.21","","-53.74%"
"02/01/2018","850.85","1,116.08","1,116.08","551.00","","-23.76%"